Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
283.5598132610321	10	1.794084575048837	0.008231477374321339	1.8056512483763072	1.774951265191703	63497
519.8325419425964	20	1.9727834789274494	0.04332161764449629	2.0325384532407043	1.8882739652472083	126066
745.9044151306152	30	2.1746733128662163	0.021845508049412366	2.205880703855655	2.1147218846017495	188979
990.1188750267029	40	2.0906449210569553	0.02537788112376002	2.1312197693623602	2.0479069956054445	251460
1226.1188070774078	50	2.233774082093587	0.07661634880365856	2.3354066437168512	2.0342232635302935	314332
1446.2640352249146	60	2.265371181764058	0.030296267363389123	2.3512261459836736	2.2306452622578945	376116
1637.2140638828278	70	2.3294915987389686	0.06449000745331984	2.411221506408765	2.1281488984968746	437207
1824.396406173706	80	2.2605110466792393	0.03365197623803745	2.317822956953023	2.192017036220932	498305
2063.800845146179	90	2.295475912630336	0.0256412102657107	2.3610993985330424	2.244708270881347	559397
2290.6078250408173	100	2.332993853115349	0.05119775198475075	2.421064640593613	2.2522633693388343	621708
2509.780459165573	110	2.4058988913399117	0.06925417000656449	2.522702440533976	2.2858262787940475	683719
2736.860160112381	120	2.3957858926535844	0.03316081283958191	2.444291195795813	2.33371961937155	744857
2974.1209359169006	130	2.5156362488096966	0.08762593548909442	2.6168056975602667	2.317651583589395	807023
3208.3777441978455	140	2.5036678432691635	0.037129947254660886	2.56113555728939	2.4467442901800496	868688
3437.708547115326	150	2.449270152467725	0.410230296523923	2.6939470063807676	1.2006614340789383	930831
3652.4319989681244	160	2.671039919986251	0.07534927479202712	2.8075023309138487	2.5469060870855174	992836
3865.6483058929443	170	2.778130697654342	0.05365026041541561	2.899284224189614	2.672124348970101	1055542
4068.809016227722	180	2.768343897053273	0.3317426398711224	3.1932835168627207	1.5591011306350993	1118259
4267.860459089279	190	2.881686800338357	0.04254349621355651	2.954865202824294	2.8185480519823614	1179287
4477.4250729084015	200	2.913055493177162	0.08700854385318188	3.0367981343442807	2.420102430987754	1241930
4663.854672908783	210	2.3854973246818556	0.8029660070015221	3.026523883876507	1.022692804086546	1303248
4851.215282917023	220	3.08130434100065	0.06209263281542738	3.207327549927868	2.967543851293158	1364708
5037.975957155228	230	3.164215173825505	0.04234077743618007	3.2414357208181173	3.060850378620671	1426227
5229.155136108398	240	2.9793155325044065	0.09258776476935661	3.1137269756000023	2.7489398957113735	1488105
5432.885615110397	250	3.172307985951775	0.0514373280158854	3.256493843276985	3.04252331139287	1550828
5669.206248044968	260	2.8272814080928947	0.4249773039003023	3.2558209235212416	1.5581052266788902	1612844
5894.752476930618	270	3.1793407909254894	0.15306922548449844	3.4737747628823854	2.4910135107056703	1674937
6136.199333190918	280	3.1980154395062392	0.04011461060485894	3.2779502119415156	3.1276417697326906	1737255
6367.680837154388	290	3.115355770046226	0.38376686257772363	3.266093689333502	1.6031434719043318	1799006
6617.466704130173	300	3.1511493530606094	0.13517223067607714	3.264061637179111	2.6196399993932573	1861316
